model_year,KM,HP,Litros,Cilindros,price_eur
2010,159325,170.0,2.5,5.0,5460
2009,162109,173.0,2.7,6.0,6347
2013,102998,400.0,3.8,6.0,60970
2014,144822,411.0,6.2,8.0,38675
2017,136450,285.0,3.6,6.0,21385
2008,213238,325.0,3.6,6.0,31850
2019,30573,189.0,2.0,4.0,24342
2022,6759,315.0,2.7,6.0,60055
2021,109114,400.0,5.6,8.0,33215
2013,160168,386.0,4.6,8.0,22659
2015,247517,355.0,5.3,8.0,20930
2010,195133,204.0,2.5,6.0,12058
2019,94951,304.0,3.6,6.0,19110
2013,88514,260.0,2.0,4.0,16380
2023,357,310.0,3.6,6.0,62790
2016,127943,240.0,2.0,4.0,17290
2010,198754,147.0,2.4,4.0,8645
2016,88916,425.0,3.0,6.0,45499
2013,116677,429.0,4.6,8.0,28620
2015,173809,310.0,3.0,6.0,18198
2018,92537,424.0,3.0,6.0,38129
2003,128878,302.0,5.0,8.0,11375
2016,40234,335.0,3.6,6.0,16379
2002,190707,285.0,5.3,8.0,5369
2006,177028,275.0,4.6,8.0,4550
2019,76481,248.0,2.0,4.0,28210
2016,224021,161.0,2.1,4.0,20020
2020,47798,395.0,3.0,6.0,61880
2020,91733,375.0,3.5,6.0,34125
2021,28501,301.0,4.6,8.0,53690
2018,116505,325.0,2.7,6.0,31850
2010,14402,426.0,6.2,8.0,27300
2020,83686,395.0,3.0,6.0,50050
2012,208177,106.0,1.5,4.0,7234
2021,16013,365.0,3.3,6.0,49094
2015,230136,275.0,3.7,6.0,20475
2013,140015,200.0,2.5,4.0,16375
2021,31527,315.0,2.7,6.0,50049
2019,48763,188.0,2.0,4.0,27755
2014,201168,510.0,5.0,8.0,20475
2011,106217,265.0,2.9,6.0,25480
2015,88031,220.0,2.0,4.0,19105
2018,113386,300.0,3.6,6.0,41728
2019,96561,335.0,3.0,6.0,33215
2007,219515,260.0,3.8,6.0,6142
2004,60547,350.0,5.7,8.0,23205
2015,117482,240.0,3.0,6.0,30940
2003,42149,302.0,5.0,8.0,20020
2018,32509,355.0,5.3,8.0,39084
2016,94951,240.0,2.0,4.0,19109
2018,80467,383.0,5.7,8.0,59150
2007,9424,295.0,3.4,6.0,40950
2020,37260,292.0,3.6,6.0,25708
2012,105814,261.0,4.0,6.0,14555
2000,212755,400.0,5.0,8.0,24479
2003,165762,210.0,3.7,6.0,4732
2013,182492,403.0,6.2,8.0,17108
2014,120818,302.0,3.5,6.0,19565
2019,57238,265.0,2.0,4.0,23660
2013,159647,302.0,3.5,6.0,10460
2012,148188,240.0,2.0,4.0,13195
2013,217261,445.0,4.4,8.0,12740
2023,16061,355.0,5.3,8.0,74620
2001,114984,200.0,3.8,6.0,9555
2019,67588,227.0,2.5,4.0,22745
2019,86905,219.0,2.5,4.0,30030
2018,58953,518.0,5.0,8.0,66036
2008,231746,323.0,6.0,8.0,20020
2013,140119,310.0,3.0,6.0,19109
2022,20921,335.0,3.0,6.0,62790
2016,144036,410.0,6.4,8.0,31850
2019,91733,285.0,3.6,6.0,36309
2017,60994,208.0,2.0,4.0,20020
2012,106217,181.0,1.6,4.0,10009
2014,129683,402.0,4.7,8.0,23660
2017,32464,285.0,3.6,6.0,43225
2012,164153,240.0,3.2,6.0,9828
2012,68009,290.0,3.5,6.0,15470
2001,104247,200.0,3.8,6.0,6825
2020,45062,425.0,3.0,6.0,54509
2017,126683,180.0,2.4,4.0,15925
2016,134219,235.0,2.0,4.0,20470
2017,163831,510.0,5.0,8.0,33215
2016,145145,241.0,2.0,4.0,16375
2012,98894,333.0,3.0,6.0,17745
2016,295385,355.0,5.3,8.0,20020
2023,13552,395.0,3.0,6.0,81900
2016,138729,240.0,2.0,4.0,17062
2006,125608,300.0,4.2,8.0,12722
2018,162331,200.0,2.5,4.0,21294
2009,41038,385.0,3.8,6.0,72795
2014,83782,348.0,3.8,6.0,13650
2018,65903,340.0,3.0,6.0,36172
2014,68236,240.0,3.0,6.0,24115
2002,143232,200.0,3.8,6.0,9464
2015,259104,200.0,2.5,4.0,10465
